site_id,date,season,scene_id,platform,n_valid_pixels,lst_c_median,ndvi_median,albedo_median
control_2_C1,2023-04-07,transition,LC09_L2SP_202033_20230407_02_T1,landsat-9,312,36.80456179999999,0.5120276910846104,0.18198298375
treatment,2023-03-30,transition,LC08_L2SP_202033_20230330_02_T1,landsat-8,8743,33.28741922000006,0.41192661499777533,0.131126945
control_1_C5,2023-03-30,transition,LC08_L2SP_202033_20230330_02_T1,landsat-8,315,33.83088440000006,0.528889880503186,0.18207682749999998
control_2_C1,2023-03-30,transition,LC08_L2SP_202033_20230330_02_T1,landsat-8,312,32.501274620000004,0.596766768840612,0.1792735875
treatment,2023-03-22,transition,LC09_L2SP_202033_20230322_02_T1,landsat-9,8743,29.954849720000027,0.4053690196314827,0.12884001750000001
control_1_C5,2023-03-22,transition,LC09_L2SP_202033_20230322_02_T1,landsat-9,315,30.535913120000032,0.607266994323322,0.17945580250000004
control_2_C1,2023-03-22,transition,LC09_L2SP_202033_20230322_02_T1,landsat-9,312,29.372077310000037,0.6453555377310456,0.17838752375000003
treatment,2023-03-14,transition,LC08_L2SP_202033_20230314_02_T1,landsat-8,724,13.078375970000025,0.38026574894882376,0.12380868625
control_1_C5,2023-03-14,transition,LC08_L2SP_202033_20230314_02_T1,landsat-8,315,19.15390652000002,0.640624613022265,0.178386905
control_2_C1,2023-03-14,transition,LC08_L2SP_202033_20230314_02_T1,landsat-8,312,20.07848093000004,0.623373700364015,0.18159920750000003
treatment,2023-02-02,winter,LC09_L2SP_202033_20230202_02_T1,landsat-9,8743,16.087942580000004,0.2608742521425107,0.11048560999999998
control_1_C5,2023-02-02,winter,LC09_L2SP_202033_20230202_02_T1,landsat-9,315,14.751496760000009,0.6244604631800357,0.1694658775
control_2_C1,2023-02-02,winter,LC09_L2SP_202033_20230202_02_T1,landsat-9,312,14.394313670000031,0.6284540557924025,0.14809289125000002
treatment,2023-01-25,winter,LC08_L2SP_202033_20230125_02_T1,landsat-8,8742,9.414258530000012,0.2582667491523145,0.10586523875000001
control_1_C5,2023-01-25,winter,LC08_L2SP_202033_20230125_02_T1,landsat-8,315,9.894490340000061,0.6545169849071377,0.16009473000000002
control_2_C1,2023-01-25,winter,LC08_L2SP_202033_20230125_02_T1,landsat-8,312,9.122017819999996,0.6604157136459834,0.14008364
