site_id,date,season,scene_id,platform,n_valid_pixels,lst_c_median,ndvi_median,albedo_median
treatment,2025-06-07,summer,LC08_L2SP_202033_20250607_02_T1,landsat-8,8743,43.98240380000004,0.28726428460434555,0.15801078000000002
control_1_C5,2025-06-07,summer,LC08_L2SP_202033_20250607_02_T1,landsat-8,315,42.553671440000016,0.2764782642567779,0.207914095
control_2_C1,2025-06-07,summer,LC08_L2SP_202033_20250607_02_T1,landsat-8,312,45.39917309000003,0.3714899666860598,0.18909631250000003
treatment,2025-05-30,transition,LC09_L2SP_202033_20250530_02_T1,landsat-9,8743,44.92235930000004,0.33653974615898463,0.1535473925
control_1_C5,2025-05-30,transition,LC09_L2SP_202033_20250530_02_T1,landsat-9,315,44.54295908000006,0.282066575932242,0.20207922749999999
control_2_C1,2025-05-30,transition,LC09_L2SP_202033_20250530_02_T1,landsat-9,312,45.783700339999996,0.39371460370215683,0.18376338875
treatment,2025-05-22,transition,LC08_L2SP_202033_20250522_02_T1,landsat-8,8743,33.59162300000003,0.4319169529159472,0.1371200475
control_1_C5,2025-05-22,transition,LC08_L2SP_202033_20250522_02_T1,landsat-8,315,35.153658140000005,0.3215310229954195,0.18596568500000002
control_2_C1,2025-05-22,transition,LC08_L2SP_202033_20250522_02_T1,landsat-8,312,35.69712332000006,0.48404434936055385,0.16790385000000002
treatment,2025-05-14,transition,LC09_L2SP_202033_20250514_02_T1,landsat-9,8743,29.47632692000002,0.5040437454997025,0.1254457475
control_1_C5,2025-05-14,transition,LC09_L2SP_202033_20250514_02_T1,landsat-9,315,26.294150300000013,0.4318685954574527,0.151274545
control_2_C1,2025-05-14,transition,LC09_L2SP_202033_20250514_02_T1,landsat-9,312,26.782927159999986,0.5935753808301596,0.1578846375
treatment,2025-04-28,transition,LC09_L2SP_202033_20250428_02_T1,landsat-9,8743,31.872358940000026,0.5060674048876989,0.12242663249999998
control_1_C5,2025-04-28,transition,LC09_L2SP_202033_20250428_02_T1,landsat-9,315,30.194111120000002,0.5791901810219878,0.1699863975
control_2_C1,2025-04-28,transition,LC09_L2SP_202033_20250428_02_T1,landsat-9,312,29.92579655000003,0.6834401986446301,0.15830727125000002
treatment,2025-03-27,transition,LC09_L2SP_202033_20250327_02_T1,landsat-9,8743,26.21553584000003,0.4433876188928747,0.11909324750000001
control_1_C5,2025-03-27,transition,LC09_L2SP_202033_20250327_02_T1,landsat-9,315,21.307259120000026,0.7355203003421236,0.1602805475
control_2_C1,2025-03-27,transition,LC09_L2SP_202033_20250327_02_T1,landsat-9,312,22.460840870000027,0.7057871732833061,0.15827805250000002
treatment,2025-02-23,winter,LC09_L2SP_202033_20250223_02_T1,landsat-9,8743,19.881944780000026,0.3457512074141757,0.12166942000000001
control_1_C5,2025-02-23,winter,LC09_L2SP_202033_20250223_02_T1,landsat-9,315,16.891177280000022,0.7396738178928798,0.15782405500000002
control_2_C1,2025-02-23,winter,LC09_L2SP_202033_20250223_02_T1,landsat-9,312,17.786698520000016,0.6823485703274458,0.14397588
treatment,2025-01-30,winter,LC08_L2SP_202033_20250130_02_T1,landsat-8,8738,10.91647832000001,0.2672217899623353,0.10347415500000001
control_1_C5,2025-01-30,winter,LC08_L2SP_202033_20250130_02_T1,landsat-8,315,11.265116359999979,0.6472522076979457,0.15126497500000002
control_2_C1,2025-01-30,winter,LC08_L2SP_202033_20250130_02_T1,landsat-8,312,11.26169834000001,0.6592794208306181,0.13033024249999997
treatment,2025-01-14,winter,LC08_L2SP_202033_20250114_02_T1,landsat-8,8733,11.856433820000007,0.2223740345202576,0.1024640525
control_1_C5,2025-01-14,winter,LC08_L2SP_202033_20250114_02_T1,landsat-8,315,9.778277660000015,0.5492781213418311,0.15011729
control_2_C1,2025-01-14,winter,LC08_L2SP_202033_20250114_02_T1,landsat-8,312,10.425992449999995,0.6129404947385539,0.12206744124999999
treatment,2024-12-29,winter,LC08_L2SP_202033_20241229_02_T1,landsat-8,8743,14.378932580000026,0.2105721122471179,0.10277645249999998
control_1_C5,2024-12-29,winter,LC08_L2SP_202033_20241229_02_T1,landsat-8,315,13.35694460000002,0.4415395404604445,0.1568263825
control_2_C1,2024-12-29,winter,LC08_L2SP_202033_20241229_02_T1,landsat-8,312,12.432370190000029,0.5902415577538328,0.11929958000000002
treatment,2024-11-27,transition,LC08_L2SP_202033_20241127_02_T1,landsat-8,8389,14.542997539999988,0.21640950409975626,0.10657126
control_1_C5,2024-11-27,transition,LC08_L2SP_202033_20241127_02_T1,landsat-8,313,13.367198659999985,0.25899680708620876,0.14774206
control_2_C1,2024-11-27,transition,LC08_L2SP_202033_20241127_02_T1,landsat-8,312,12.500730590000018,0.5501020371789664,0.128700125
treatment,2024-11-11,transition,LC08_L2SP_202033_20241111_02_T1,landsat-8,8743,23.002597040000012,0.17517523480471014,0.10463812000000002
control_1_C5,2024-11-11,transition,LC08_L2SP_202033_20241111_02_T1,landsat-8,315,23.060703380000007,0.2576970761442297,0.15032428250000002
control_2_C1,2024-11-11,transition,LC08_L2SP_202033_20241111_02_T1,landsat-8,312,21.941301830000043,0.5519562351920166,0.11555468499999999
treatment,2024-09-16,transition,LC09_L2SP_202033_20240916_02_T1,landsat-9,8743,42.64253996000002,0.1774046055366199,0.17611447000000002
control_1_C5,2024-09-16,transition,LC09_L2SP_202033_20240916_02_T1,landsat-9,315,44.62499156000001,0.1916564672302742,0.23428269000000004
control_2_C1,2024-09-16,transition,LC09_L2SP_202033_20240916_02_T1,landsat-9,312,43.37057822000003,0.2963015562963695,0.20075676625
treatment,2024-09-08,transition,LC08_L2SP_202033_20240908_02_T1,landsat-8,8743,40.441335080000044,0.1819723019995511,0.17334552250000002
control_1_C5,2024-09-08,transition,LC08_L2SP_202033_20240908_02_T1,landsat-8,315,41.12152106000002,0.18925764616070284,0.2355361675
control_2_C1,2024-09-08,transition,LC08_L2SP_202033_20240908_02_T1,landsat-8,312,39.74234999000001,0.2924649324921613,0.19922206000000003
treatment,2024-08-23,summer,LC08_L2SP_202033_20240823_02_T1,landsat-8,8743,46.60744316,0.1925339530830126,0.17215906250000002
control_1_C5,2024-08-23,summer,LC08_L2SP_202033_20240823_02_T1,landsat-8,315,49.355531240000005,0.1887605934681085,0.241195805
control_2_C1,2024-08-23,summer,LC08_L2SP_202033_20240823_02_T1,landsat-8,312,47.25857597000004,0.2889939122980766,0.2009066275
treatment,2024-08-15,summer,LC09_L2SP_202033_20240815_02_T1,landsat-9,8743,47.26028498000005,0.20336917942469668,0.1685100325
control_1_C5,2024-08-15,summer,LC09_L2SP_202033_20240815_02_T1,landsat-9,315,50.16560198000002,0.19072684167209208,0.243743735
control_2_C1,2024-08-15,summer,LC09_L2SP_202033_20240815_02_T1,landsat-9,312,48.44633792000002,0.29594543612851554,0.19808882625000002
treatment,2024-08-07,summer,LC08_L2SP_202033_20240807_02_T1,landsat-8,8743,49.51276016000003,0.20622665741574533,0.167320575
control_1_C5,2024-08-07,summer,LC08_L2SP_202033_20240807_02_T1,landsat-8,315,52.79064133999998,0.1928819538270308,0.2440002275
control_2_C1,2024-08-07,summer,LC08_L2SP_202033_20240807_02_T1,landsat-8,312,50.79109964000003,0.29344425479142033,0.19666086124999999
treatment,2024-07-30,summer,LC09_L2SP_202033_20240730_02_T1,landsat-9,8743,47.745643820000055,0.2169896686573976,0.1672868875
control_1_C5,2024-07-30,summer,LC09_L2SP_202033_20240730_02_T1,landsat-9,315,49.68366116000004,0.19796546310832017,0.24306393499999998
control_2_C1,2024-07-30,summer,LC09_L2SP_202033_20240730_02_T1,landsat-9,312,49.36236728000003,0.30386387103419676,0.19620741375
treatment,2024-07-22,summer,LC08_L2SP_202033_20240722_02_T1,landsat-8,8743,50.712485180000044,0.2161588627031504,0.16269713749999998
control_1_C5,2024-07-22,summer,LC08_L2SP_202033_20240722_02_T1,landsat-8,315,52.24034012000004,0.19493779829434316,0.24636366000000004
control_2_C1,2024-07-22,summer,LC08_L2SP_202033_20240722_02_T1,landsat-8,312,51.43539641000001,0.3040886002782951,0.190238415
treatment,2024-07-14,summer,LC09_L2SP_202033_20240714_02_T1,landsat-9,8743,48.25834682000004,0.2180468636297483,0.15913440250000002
control_1_C5,2024-07-14,summer,LC09_L2SP_202033_20240714_02_T1,landsat-9,315,50.07331543999999,0.19405331006065663,0.246923725
control_2_C1,2024-07-14,summer,LC09_L2SP_202033_20240714_02_T1,landsat-9,312,48.61552991000002,0.3000509352982547,0.18856706125
treatment,2024-07-06,summer,LC08_L2SP_202033_20240706_02_T1,landsat-8,8743,43.64401982000004,0.2326794387210658,0.152813995
control_1_C5,2024-07-06,summer,LC08_L2SP_202033_20240706_02_T1,landsat-8,315,46.617697220000025,0.19695270505433302,0.24449198249999998
control_2_C1,2024-07-06,summer,LC08_L2SP_202033_20240706_02_T1,landsat-8,312,45.50171369000003,0.31426451714516535,0.18231026125
treatment,2024-06-12,summer,LC09_L2SP_202033_20240612_02_T1,landsat-9,8743,43.10055464000004,0.27438519900716474,0.1600154475
control_1_C5,2024-06-12,summer,LC09_L2SP_202033_20240612_02_T1,landsat-9,315,47.41409587999999,0.20896920024476612,0.24172352999999996
control_2_C1,2024-06-12,summer,LC09_L2SP_202033_20240612_02_T1,landsat-9,312,45.59229122000005,0.352854946951055,0.18902884125000002
treatment,2024-06-04,summer,LC08_L2SP_202033_20240604_02_T1,landsat-8,8743,43.445774659999984,0.29395435458650304,0.16076980000000002
control_1_C5,2024-06-04,summer,LC08_L2SP_202033_20240604_02_T1,landsat-8,315,47.53372658000001,0.22242794600510765,0.23047993500000002
control_2_C1,2024-06-04,summer,LC08_L2SP_202033_20240604_02_T1,landsat-8,312,44.24388233000002,0.3694114162904059,0.19431469875000001
treatment,2024-05-27,transition,LC09_L2SP_202033_20240527_02_T1,landsat-9,8743,39.66886255999998,0.3368183642653721,0.148853225
control_1_C5,2024-05-27,transition,LC09_L2SP_202033_20240527_02_T1,landsat-9,315,44.54637710000003,0.23427778036814267,0.225151095
control_2_C1,2024-05-27,transition,LC09_L2SP_202033_20240527_02_T1,landsat-9,312,41.485540189999995,0.40581028782204875,0.18554830374999998
treatment,2024-05-11,transition,LC09_L2SP_202033_20240511_02_T1,landsat-9,8743,36.82506992000003,0.44615712459156137,0.1440329975
control_1_C5,2024-05-11,transition,LC09_L2SP_202033_20240511_02_T1,landsat-9,315,39.52872374000003,0.28398198805541863,0.218925865
control_2_C1,2024-05-11,transition,LC09_L2SP_202033_20240511_02_T1,landsat-9,312,34.8221102,0.5007206733698492,0.18124658875
treatment,2024-05-03,transition,LC08_L2SP_202033_20240503_02_T1,landsat-8,8743,24.67400882000004,0.501638084452354,0.135269105
control_1_C5,2024-05-03,transition,LC08_L2SP_202033_20240503_02_T1,landsat-8,315,26.222371880000026,0.28817599091241025,0.21721583250000004
control_2_C1,2024-05-03,transition,LC08_L2SP_202033_20240503_02_T1,landsat-8,312,21.03210851,0.555874977261797,0.17921084625
treatment,2024-04-25,transition,LC09_L2SP_202033_20240425_02_T1,landsat-9,8743,26.454797240000005,0.5420259517834418,0.12531713
control_1_C5,2024-04-25,transition,LC09_L2SP_202033_20240425_02_T1,landsat-9,315,29.39771245999998,0.3014246063077944,0.1898736825
control_2_C1,2024-04-25,transition,LC09_L2SP_202033_20240425_02_T1,landsat-9,312,26.071979000000056,0.6388261658957157,0.1726121525
treatment,2024-04-17,transition,LC08_L2SP_202033_20240417_02_T1,landsat-8,56,15.797410880000001,0.6661141938973729,0.19163438375000003
treatment,2024-04-09,transition,LC09_L2SP_202033_20240409_02_T1,landsat-9,8743,24.499689800000056,0.5840634283876094,0.1294708125
control_1_C5,2024-04-09,transition,LC09_L2SP_202033_20240409_02_T1,landsat-9,315,24.598812380000027,0.3239623511419478,0.179822625
control_2_C1,2024-04-09,transition,LC09_L2SP_202033_20240409_02_T1,landsat-9,312,20.98083821,0.7548977835751858,0.18470310500000003
treatment,2024-03-16,transition,LC08_L2SP_202033_20240316_02_T1,landsat-8,805,19.393167919999996,0.5116527010476416,0.12547459500000002
treatment,2024-02-29,winter,LC08_L2SP_202033_20240229_02_T1,landsat-8,78,18.00032477000002,0.4836061408713882,0.18605424875
control_1_C5,2024-02-29,winter,LC08_L2SP_202033_20240229_02_T1,landsat-8,315,15.838427120000006,0.7597422746271926,0.21880725749999996
control_2_C1,2024-02-29,winter,LC08_L2SP_202033_20240229_02_T1,landsat-8,195,15.780320780000011,0.7542610104510055,0.21504613750000004
treatment,2024-02-21,winter,LC09_L2SP_202033_20240221_02_T1,landsat-9,7133,13.773943040000006,0.4606215341583595,0.15021112000000003
